Roll Number,Registration Date,Face Encoding
208,2026-06-08 21:52:40,
210,2026-06-10 20:35:05,
U16VH24S0244,2026-06-16 13:05:09,
vinay208,2026-07-02 22:12:25,"[-0.06708450615406036, 0.07360731065273285, 0.011461958289146423, -0.02144678309559822, 0.02014322578907013, -0.01785808801651001, 0.026211734861135483, -0.030916675925254822, 0.13764506578445435, -0.05733697488903999, 0.2417486011981964, -0.0779857262969017, -0.2026047557592392, -0.16809722781181335, 0.04634196683764458, 0.03517186641693115, -0.09731628000736237, -0.16402605175971985, -0.08713848143815994, -0.0973360687494278, -0.08141390979290009, -0.035626232624053955, -0.02574055641889572, 0.059637583792209625, -0.1574927121400833, -0.34682995080947876, -0.08143462985754013, -0.11959877610206604, 0.06556646525859833, -0.12249226868152618, -0.019569024443626404, 0.061981502920389175, -0.17883899807929993, -0.08905532956123352, -0.02681870013475418, 0.08470144122838974, 0.038200944662094116, -0.034501537680625916, 0.21829302608966827, -0.015971746295690536, -0.08765280246734619, -0.02094048261642456, 0.06263335049152374, 0.3393370509147644, 0.17845489084720612, -0.04838229715824127, -0.05027008056640625, 0.07029643654823303, 0.07583970576524734, -0.1942991316318512, 0.08092985302209854, 0.10313485562801361, 0.1861533224582672, 0.04260609298944473, 0.0855785608291626, -0.07862844318151474, -0.01547461748123169, 0.10259455442428589, -0.2124904841184616, 0.047803573310375214, -0.04036988317966461, -0.05219234526157379, -0.06721336394548416, -0.005511477589607239, 0.2560166120529175, 0.09765078872442245, -0.06867104768753052, -0.1260182112455368, 0.2013198882341385, -0.1566450297832489, 0.04352622106671333, 0.07947291433811188, -0.051763713359832764, -0.10646113753318787, -0.22020012140274048, 0.16021782159805298, 0.3236032724380493, 0.12738221883773804, -0.22580859065055847, 0.07698439806699753, -0.11562971025705338, -0.0979718416929245, 0.04373776912689209, -0.02798888087272644, -0.09844274818897247, 0.009581521153450012, -0.13962998986244202, 0.02402372658252716, 0.16673891246318817, 0.07186605781316757, -0.0402989499270916, 0.16150137782096863, -0.009984150528907776, -0.034253157675266266, 0.13595977425575256, -0.03007332980632782, -0.09970495849847794, -0.025562934577465057, -0.1565546989440918, -0.01697172224521637, 0.11631183326244354, -0.1439083069562912, -0.018390566110610962, 0.10390481352806091, -0.16771483421325684, 0.09694913774728775, 0.05133647471666336, -0.051530785858631134, 0.07403849810361862, 0.08386421203613281, -0.09095015376806259, -0.1259501725435257, 0.17275142669677734, -0.3087635338306427, 0.0980280339717865, 0.06106886267662048, 0.022416286170482635, 0.1374293863773346, 0.039855316281318665, 0.07506419718265533, 0.0033977925777435303, -0.0036686956882476807, -0.0948517844080925, -0.06172490119934082, 0.021500542759895325, -0.023409485816955566, 0.0559813529253006, 0.05557583272457123]"
388,2026-07-03 09:15:29,"[-0.1711408793926239, 0.04821384698152542, 0.14286133646965027, -0.024233385920524597, -0.05578988045454025, -0.06237915903329849, -0.010662376880645752, -0.03374215215444565, 0.03354349732398987, -0.06606397777795792, 0.272565633058548, -0.042182277888059616, -0.1967722475528717, -0.10647383332252502, 0.03071989119052887, 0.05688655748963356, -0.06240997090935707, -0.1338893473148346, 0.0030643343925476074, -0.0883152186870575, 0.08530917763710022, 0.003298455849289894, -0.032177701592445374, 0.03469867259263992, -0.12469248473644257, -0.32954949140548706, -0.11303385347127914, -0.1113976538181305, -0.04572916775941849, -0.12563028931617737, 0.01779240369796753, 0.029206231236457825, -0.1933705359697342, -0.01797374337911606, -0.06468312442302704, 0.11283829063177109, 0.0018668994307518005, -0.040239106863737106, 0.06880319118499756, -0.07136543840169907, -0.08993038535118103, -0.07444514334201813, -9.782612323760986e-06, 0.29041120409965515, 0.09241528809070587, 0.022211644798517227, -0.007769331336021423, 0.08787345886230469, -0.006709381937980652, -0.2614796459674835, 0.04990582540631294, 0.1469852477312088, 0.08102753013372421, 0.01299944519996643, 0.10012564063072205, -0.04463952034711838, 0.03618645668029785, 0.044385120272636414, -0.1534334421157837, 0.0243520587682724, -0.004456214606761932, -0.04740928113460541, -0.03064090386033058, -0.08440385013818741, 0.21659381687641144, 0.11635644733905792, -0.10491564124822617, -0.046581730246543884, 0.08969278633594513, -0.12399476766586304, -0.05530763417482376, 0.011717673391103745, -0.13725611567497253, -0.17114344239234924, -0.24295498430728912, 0.0988016426563263, 0.3389190435409546, 0.12401137501001358, -0.19676321744918823, 0.07755333185195923, -0.11028033494949341, 0.024640284478664398, 0.07537048310041428, -0.021957799792289734, -0.021729428321123123, 0.07685977965593338, -0.1922241598367691, 0.10191299021244049, 0.11486563086509705, -0.04977884143590927, 0.0015928521752357483, 0.17760835587978363, -0.053033724427223206, -0.0004911720752716064, 0.0644482746720314, 0.043740421533584595, -0.026762403547763824, 0.0036582499742507935, -0.07415328174829483, 0.04314696043729782, 0.11221707612276077, -0.08105248212814331, -0.05720210820436478, 0.09927760064601898, -0.14303678274154663, 0.08091925084590912, 0.009921006858348846, 0.0032674334943294525, -0.015432611107826233, 0.006662964820861816, -0.12999513745307922, -0.07422533631324768, 0.08417072147130966, -0.23948495090007782, 0.11530453711748123, 0.1616104543209076, -0.108238086104393, 0.13769450783729553, 0.03131824731826782, 0.05476292967796326, -0.042874448001384735, -0.08617940545082092, -0.14415928721427917, -0.07730278372764587, 0.03758641704916954, 0.027123931795358658, -0.037449657917022705, 0.02694186568260193]"
